Tag,AGORA Model Name,TaxTree/NCIB ID,OpACIN-fDNA-001,OpACIN-fDNA-002,OpACIN-fDNA-003,OpACIN-fDNA-004,OpACIN-fDNA-005,OpACIN-fDNA-006,OpACIN-fDNA-007,OpACIN-fDNA-008,OpACIN-fDNA-009,OpACIN-fDNA-010,OpACIN-fDNA-011,OpACIN-fDNA-012,OpACIN-fDNA-013,OpACIN-fDNA-014,OpACIN-fDNA-015,OpACIN-fDNA-016,OpACIN-fDNA-017,OpACIN-fDNA-018,OpACIN-fDNA-019,OpACIN-fDNA-020,OpACIN-fDNA-021,OpACIN-fDNA-022,OpACIN-fDNA-023,OpACIN-fDNA-024,OpACIN-fDNA-025,OpACIN-fDNA-026,OpACIN-fDNA-027,OpACIN-fDNA-028,OpACIN-fDNA-029,OpACIN-fDNA-030,OpACIN-fDNA-031,OpACIN-fDNA-032,OpACIN-fDNA-033,OpACIN-fDNA-034,OpACIN-fDNA-035,OpACIN-fDNA-037,OpACIN-fDNA-038,OpACIN-fDNA-039,PAUS-base16567,PAUS-base20807,PAUS-base27704,PAUS-base34671,PAUS-base35603,PAUS-base36885,PAUS-base38798,PAUS-base44051,PAUS-base48040,PAUS-base48446,PAUS-base49317,PAUS-base49623,PAUS-base50750,PAUS-base51030,PAUS-base51377,PAUS-base51517,PAUS-base51558,PAUS-base51584,PAUS-base51679,PAUS-base51771,PAUS-base51823,PAUS-base51884,PAUS-base51887,PAUS-base51902,PAUS-base52021,PAUS-base52436,PAUS-base52513,PAUS-base52521,PAUS-base52534,PAUS-base52550,PAUS-base52579,PAUS-base52729,PAUS-base52757,PradoNKIbase106,PradoNKIbase107,PradoNKIbase108,PradoNKIbase109,PradoNKIbase110,PradoNKIbase112,PradoNKIbase113,PradoNKIbase114,PradoNKIbase115,PradoNKIbase116,PradoNKIbase117,PradoNKIbase118,PradoNKIbase119,PradoNKIbase120,PradoNKIbase121,PradoNKIbase122,PradoNKIbase123,PradoNKIbase124,PradoNKIbase125,PradoNKIbase128,PradoNKIbase129,PradoNKIbase130,PradoNKIbase131,PradoNKIbase132,PradoNKIbase134,PradoNKIbase135,PradoNKIbase136,PradoNKIbase137,PradoNKIbase139,PradoNKIbase140,PradoNKIbase142,PradoNKIbase143
Lachnospira_multipara_ATCC_19207_6,Lachnospira_multipara_ATCC_19207,Lachnospira multipara ATCC 19207,0.0008,0.0081,0,0,0,0,0,0.0021,0,0,0,0,0,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009,0,0,0,0,0,0,0,0.0008,0,0.0052,0,0,0.0032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,0,0,0,0,0,0.0013,0,0.0025,0.0026,0.0006,0,0,0.0004,0,0,0.0003,0.0022,0,0.0063,0,0,0,0.0008,0.0036,0.0012,0,0.0001,0,0.0007,0.0019,0,0,0,0.0001,0.0007,0,0,0,0,0
Blautia_hansenii_DSM_20583_7,Blautia_hansenii_VPI_C7_24_DSM_20583,Blautia hansenii DSM 20583,0.0004,0.0025,0,0,0.0004,0.0005,0,0.0006,0,0,0,0,0,0.0005,0,0,0.0012,0.0002,0.0012,0,0.0011,0.0001,0.001,0,0.0009,0,0.0003,0,0.0018,0,0.0028,0,0.0012,0.0004,0.002,0.001,0,0,0.0002,0,0,0,0,0,0,0.0004,0.0004,0,0,0.0005,0,0,0,0.0007,0,0,0,0,0.0013,0,0.0017,0.0006,0,0,0,0.0007,0,0,0.0019,0,0.001,0.0005,0.0012,0,0,0.002,0,0.0002,0.0001,0.0012,0.0005,0.001,0.001,0.0001,0,0.002,0.0016,0.0012,0,0,0,0.0008,0,0.0001,0.0003,0.0004,0.0001,0.0007,0.0008,0,0.0007,0,0.0011
_methoxybenzovorans_SR3_12,Clostridium_methoxybenzovorans_SR3, methoxybenzovorans SR3,0.0004,0,0,0,0.0014,0.0008,0,0.0002,0,0,0,0,0.001,0,0.0006,0.001,0.0022,0,0.0012,0,0.0016,0,0.0005,0,0.0016,0.0004,0.0007,0,0.0009,0,0.0013,0.0011,0.0009,0.001,0.0016,0,0.0007,0,0.001,0,0,0.0014,0,0,0.0007,0,0,0.0012,0.0005,0.0008,0,0.0017,0,0.0006,0.0013,0,0,0,0.0012,0,0.0005,0.0006,0,0.0005,0,0,0,0.0023,0.002,0.0005,0.001,0.001,0.0013,0.0005,0,0.0017,0,0.0004,0.0002,0,0.0002,0.0008,0.0013,0,0.0002,0.0002,0.0028,0,0.0003,0,0.0002,0.0003,0,0.0002,0,0.0003,0,0.0007,0.0008,0,0.0003,0.0003,0.0004
Bifidobacterium_animalis_lactis_DSM_10140_1,Bifidobacterium_animalis_lactis_DSM_10140,None,0,0.0003,0,0,0,0,0,0,0,0.0042,0,0,0,0,0,0,0,0,0,0,0.0048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038,0,0,0,0.0066,0,0,0,0,0.0067,0.0022,0,0,0,0,0,0,0.0006,0,0,0,0,0,0,0,0,0.0046,0,0,0,0.0015,0,0,0,0
_hylemonae_DSM_15053_2,Clostridium_hylemonae_DSM_15053, hylemonae DSM 15053,0,0,0,0,0,0,0,0,0,0,0.0079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008,0,0.006,0,0,0.0008,0,0,0,0,0.0006,0.0001,0.0003,0,0.0066,0.03,0,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.01,0.0023,0,0,0,0,0,0.0012,0.0027,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0.0005,0,0.0008,0
_methylpentosum_15,Clostridium_methylpentosum_R2_DSM_5476, methylpentosum,0,0.0002,0.0006,0.0008,0.0001,0,0.0001,0.0002,0,0.0009,0.0004,0.0006,0,0.001,0.0003,0,0.0002,0.0002,0,0.0006,0.0001,0.0019,0.0001,0.0004,0,0.0002,0.0003,0.0013,0,0,0.0008,0.0008,0.001,0,0,0.0003,0.0001,0.0003,0,0.0005,0.0003,0.0005,0.0255,0,0,0,0,0.0004,0,0.0006,0.0003,0.0001,0.0007,0.0008,0.0006,0.0072,0.0002,0,0.0001,0.0005,0.0002,0.0001,0.0002,0.0001,0.0028,0.0001,0.0001,0,0.0005,0.0004,0,0,0,0.0002,0.0001,0,0.0002,0.0001,0.0004,0.0003,0.0004,0.0002,0.0001,0.0006,0.0001,0.0002,0.0002,0.0001,0.0006,0.001,0.0007,0.0013,0.0012,0.0002,0.0003,0,0.0013,0,0,0.0001,0.0004,0,0.0001
Roseburia_hominis_A2183_1,Roseburia_hominis_A2_183,Roseburia hominis A2-183,0,0,0,0,0,0,0.0008,0,0,0,0,0,0,0.0001,0,0.002,0,0,0,0,0.0028,0,0,0,0.0024,0.0052,0.0006,0,0.0022,0,0,0,0,0,0,0,0.0016,0,0.0027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008,0,0,0,0,0.001,0,0,0.0092,0,0,0.0024,0,0,0.0006,0.0005,0.0012,0,0.0025,0,0.0031,0,0,0,0,0.002,0,0,0,0.0038,0,0,0.0001,0,0.0005,0.0003,0,0,0,0,0.0006,0,0,0,0,0
Veillonella_parvula_DSM_2008_1,Veillonella_parvula_Te3_DSM_2008,Veillonella parvula DSM 2008,0,0.0004,0.0218,0,0.0018,0.006,0,0.0001,0,0,0,0,0.0017,0,0,0,0,0.0006,0.0008,0.0003,0.0002,0,0.0028,0.0006,0,0,0.0001,0,0.0001,0.0002,0,0,0,0.0002,0,0.0049,0,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0
_lactaris_ATCC_29176_8,Ruminococcus_lactaris_ATCC_29176, lactaris ATCC 29176,0,0,0.0019,0,0,0,0,0,0,0,0.0013,0.004,0.0004,0,0.0047,0,0.0003,0.0011,0,0.0014,0,0,0,0.0008,0.0003,0.0002,0,0.0023,0,0.0078,0,0.0009,0,0,0,0.0003,0,0,0,0.0036,0,0,0.0017,0,0,0,0.0001,0.0015,0,0,0,0,0.002,0,0,0,0.0006,0,0,0.0038,0.0005,0.0008,0,0.0013,0,0,0.0002,0.0011,0,0,0,0,0,0,0.0014,0,0,0.0002,0,0,0,0.0001,0,0,0,0.0001,0.0005,0,0.0005,0,0,0,0.0005,0,0,0,0,0.0005,0,0.001,0.0031,0,0
Bacteroides_salyersiae_WAL_10018_DSM_18765_JCM_12988_1,Bacteroides_salyersiae_WAL_10018,Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988,0,0,0,0,0,0,0,0.0023,0,0.0062,0,0,0,0,0,0.0055,0,0.0007,0,0,0,0.0001,0,0,0,0,0.0004,0.0039,0.0013,0,0,0,0,0.0003,0,0.0089,0,0,0,0,0,0,0,0.0014,0,0,0,0,0,0,0,0.0098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024,0.0025,0,0,0,0,0,0,0,0.0003,0,0,0,0.0034,0,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031,0,0,0,0,0
_methoxybenzovorans_SR3_13,Clostridium_methoxybenzovorans_SR3, methoxybenzovorans SR3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154,0,0,0,0,0,0,0,0.0002,0,0,0,0.0101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114,0,0,0,0,0,0,0,0,0,0,0,0,0.0036,0.0098,0.0004,0,0,0,0,0,0,0.0006,0,0.0014,0,0,0,0,0,0,0,0,0,0.0052,0,0,0,0,0,0.0009,0,0,0,0,0
Pseudoflavonifractor_capillosus_ATCC_29799_10,Pseudoflavonifractor_capillosus_strain_ATCC_29799,Pseudoflavonifractor capillosus ATCC 29799,0,0,0,0,0.0019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0.0023,0,0,0,0,0,0,0.0013,0,0,0,0,0,0.0065,0,0,0,0,0,0,0.003,0,0,0,0,0.0022,0.0029,0.0014,0,0,0,0,0,0,0,0,0,0.0018,0,0,0.0024,0,0,0,0,0,0,0.0051,0,0.0013,0,0.0052,0,0,0,0,0.0031,0.0026,0
Roseburia_inulinivorans_DSM_16841_1,Roseburia_inulinivorans_DSM_16841,Roseburia inulinivorans DSM 16841,0.0011,0,0,0,0,0,0.0005,0,0,0,0,0,0,0.0004,0,0,0,0,0,0,0.0022,0,0,0,0,0,0.0006,0,0.0004,0,0,0,0,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0,0,0.0007,0,0,0,0,0.0017,0.0002,0.0041,0,0,0.0015,0.0006,0.0001,0,0.0002,0,0.0014,0,0,0,0.0119,0,0.0011,0,0,0,0.0014,0,0.0005,0,0.0015,0,0,0.0006,0,0,0,0
_methylpentosum_16,Clostridium_methylpentosum_R2_DSM_5476, methylpentosum,0.0002,0.001,0.0006,0,0.0002,0,0.0003,0.0004,0,0.002,0.0006,0.0018,0.0002,0,0.0002,0.0004,0,0.0001,0,0.0006,0.0001,0,0,0.0003,0.0002,0,0.0007,0.0006,0,0.0003,0.0009,0.0007,0.0007,0.0008,0.0004,0.0002,0,0.0008,0,0.0004,0.0014,0,0.0004,0.0006,0,0,0.0004,0.0006,0.0003,0.0007,0,0.0007,0.0009,0.0009,0.0006,0,0.0007,0,0.0005,0.0004,0,0,0.0004,0,0.0002,0.0004,0,0,0.0005,0.0009,0,0,0.0003,0,0.0002,0,0,0,0.0019,0,0.0007,0.0007,0,0,0,0.0011,0.0007,0,0.0001,0.0022,0.0013,0,0.0007,0.0005,0.002,0,0,0,0.0006,0.0002,0,0.0001,0.0008
Schaalia_georgiae_DSM_6843_0,Actinomyces_georgiae_DSM_6843,Schaalia georgiae DSM 6843,0.0019,0.0011,0.0003,0.0001,0.0008,0,0,0.0002,0.0002,0.0003,0,0.0019,0.0004,0.0008,0.0003,0.0005,0,0.0009,0.0006,0.0002,0,0.0006,0.0002,0.0012,0,0.0002,0.001,0,0.0003,0.0011,0.0006,0.0006,0.0002,0,0.0004,0.0007,0,0.0006,0,0,0.0006,0,0.0005,0,0.0005,0,0,0.0003,0.0002,0.0002,0.0001,0.0002,0.0019,0,0.0001,0.0002,0.0001,0,0,0,0,0.0012,0,0,0.0007,0,0.0005,0.0017,0,0,0.0004,0,0,0.0011,0.0002,0,0.0003,0,0.0008,0,0.0003,0,0.0001,0.0001,0.0004,0.0006,0.0002,0.0005,0.0002,0.0002,0.001,0.0001,0.0004,0.0003,0.0002,0.0005,0.0033,0.0002,0.0001,0.0034,0.0001,0.0002,0.0002
Lactobacillus_salivarius_HO66_ATCC_11741_0,Lactobacillus_salivarius_HO66_ATCC_11741,None,0,0,0,0,0.0116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.0027,0,0,0,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0,0,0,0.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0.0004,0,0,0,0,0,0,0,0.0169,0.0001,0,0,0,0,0
_methoxybenzovorans_SR3_14,Clostridium_methoxybenzovorans_SR3, methoxybenzovorans SR3,0.0027,0,0,0,0,0,0,0.0009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014,0,0.0029,0,0.0012,0,0,0.0097,0.002,0,0.0008,0,0.0009,0,0,0.0037,0,0,0,0.0004,0,0,0.0004,0,0.0007,0,0,0,0,0,0,0,0,0,0,0,0.0031,0,0,0.0005,0,0,0,0,0.001,0.0029,0.0001,0.0002,0,0.0017,0.0007,0.0002,0.0001,0,0.0013,0,0.0005,0.0004,0,0,0.0016,0,0,0,0,0,0,0,0,0,0.0001,0,0.0027,0,0.0016,0.0003,0.0002
_methoxybenzovorans_SR3_15,Clostridium_methoxybenzovorans_SR3, methoxybenzovorans SR3,0.001,0.0021,0.0001,0,0.0004,0.0009,0.0004,0.0004,0,0,0,0,0,0,0,0.0003,0.001,0,0,0.002,0,0,0.0013,0,0.0038,0,0.001,0,0.0002,0,0,0,0.0005,0.0017,0.0024,0.0005,0.0022,0.001,0.0007,0,0,0,0,0.0002,0,0.0004,0,0.0015,0,0,0.0014,0,0,0,0,0.0012,0.0002,0,0,0,0,0,0,0,0,0.0009,0,0,0.0019,0,0,0.0016,0.0006,0.0005,0,0.0005,0,0.0002,0,0.0002,0,0.0015,0.0014,0,0,0,0.001,0.0003,0,0,0.0001,0,0,0.001,0,0.0001,0,0.0005,0.0029,0,0,0,0
Leuconostoc_lactis_KACC_91922_0,Leuconostoc_lactis_KACC_91922,None,0,0,0,0,0,0,0,0.0034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0,0.0002,0,0,0,0,0,0.0026,0.0021,0.0001,0,0,0,0,0,0,0,0,0,0.0045,0,0,0,0,0.0158,0,0.0002,0,0,0,0,0,0,0.0001,0,0,0,0,0,0
Roseburia_hominis_A2183_2,Roseburia_hominis_A2_183,Roseburia hominis A2-183,0.0004,0,0,0,0,0.0024,0,0.0011,0,0,0,0,0.0023,0.0011,0,0,0.0005,0,0,0,0.0025,0,0.0011,0,0,0,0,0,0,0,0,0,0,0,0,0.0027,0,0,0.0009,0,0,0,0,0,0,0.0015,0,0,0,0.0013,0,0.0004,0,0,0,0,0.001,0.0007,0.0005,0,0.0016,0,0.0006,0,0,0,0,0,0.0026,0,0,0.0004,0.0011,0,0,0.0008,0.0009,0.0002,0.0001,0.0017,0,0,0.0005,0,0.0008,0,0,0,0,0.0002,0.0044,0.0004,0,0,0,0.0019,0.0003,0,0,0,0,0,0.0038
Ruminiclostridium_cellobioparum_DSM_1351_ATCC_15832_12,Clostridium_cellobioparum_DSM_1351,Ruminiclostridium cellobioparum DSM 1351 = ATCC 15832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008,0.0007,0,0,0.0009,0.0008,0.0023,0,0,0,0,0,0,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,0.0088,0,0.001,0,0.0011,0,0,0,0,0,0,0,0,0,0,0.0032,0,0.0015,0,0,0,0,0.0006,0,0,0,0,0.0007,0,0,0,0,0,0.0008,0,0.0112,0,0,0,0,0.0003,0,0.0019,0,0.0003,0.003,0.0007,0,0,0,0,0,0,0.0003
_eligens_ATCC_27750_7,Eubacterium_eligens_ATCC_27750, eligens ATCC 27750,0.0023,0.0022,0,0,0.0001,0.0006,0,0.0007,0,0,0,0.0004,0,0.0004,0,0,0.0004,0.001,0,0,0.0004,0.0008,0.0003,0,0,0,0.0012,0,0.0009,0,0.0009,0,0.0001,0,0.001,0,0,0,0,0,0,0,0,0.0008,0.0004,0.0012,0,0,0.0006,0,0,0.0008,0,0,0,0,0,0.002,0,0,0.0006,0.0002,0.001,0,0,0.0005,0,0,0,0,0,0.0012,0.0011,0.0022,0,0.0014,0.0001,0.0001,0,0.0005,0,0.002,0.001,0.0009,0.001,0.0002,0.0009,0.0008,0.0002,0.0007,0.0008,0.0008,0.0003,0.0001,0.0005,0.0006,0.0008,0.0007,0,0.0002,0,0,0.0003
Slackia_piriformis_YIT_12062_0,Slackia_piriformis_YIT_12062,Slackia piriformis YIT 12062,0,0.0005,0,0,0,0,0.0007,0.0017,0,0,0,0,0,0,0.0002,0,0.0005,0,0,0,0,0.0044,0.0005,0.0007,0,0,0.0031,0,0,0,0,0,0,0.0004,0,0,0,0,0,0,0,0,0,0,0.0035,0,0,0,0.0004,0,0,0,0,0,0,0,0,0.0004,0,0,0,0,0.0006,0,0,0,0,0.0013,0.0004,0,0,0.0004,0.0004,0.0003,0,0.0002,0.0014,0,0.0012,0.0002,0,0.0006,0,0,0.0022,0,0,0.0004,0.0004,0.0002,0.0017,0.0019,0.0007,0.0003,0,0.0041,0.0006,0.0001,0,0,0.0003,0,0
Marvinbryantia_formatexigens_2,Marvinbryantia_formatexigens_I_52_DSM_14469,Marvinbryantia formatexigens,0.0004,0.0009,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.0004,0.0007,0.0002,0,0,0.0003,0,0,0,0,0,0.0072,0.0009,0,0,0.0002,0.0026,0,0.0002,0,0,0,0,0,0.0003,0,0,0.0022,0,0.0004,0,0.0031,0,0,0,0,0,0.0002,0.0002,0,0.0005,0,0.0003,0.0004,0,0,0.0002,0,0.0008,0.0004,0.0039,0.0002,0,0,0.0002,0,0.004,0,0.0018,0,0.0011,0,0.0003,0.0002,0,0.0009,0,0.0003,0,0.0018
Paraprevotella_clara_YIT_11840_2,Paraprevotella_clara_YIT_11840,Paraprevotella clara YIT 11840,0,0,0,0,0,0.0096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0085,0,0,0.0022,0,0.0012,0,0,0,0.0015,0.0002,0.0016,0.0003,0,0,0.0106,0,0.0002,0,0,0,0.0018,0.0001,0.0002,0,0,0,0,0,0,0,0.0003,0,0,0,0,0.0003
Eubacterium_sulci_ATCC_35585_1,Eubacterium_sulci_ATCC_35585,Eubacterium sulci ATCC 35585,0,0,0.0006,0,0.0003,0.0001,0,0.0009,0,0,0,0.0024,0.0004,0,0.0001,0.0006,0,0.0005,0.0006,0.0007,0.0009,0.0003,0,0,0,0,0.0012,0,0,0,0.0017,0,0,0.0005,0.0016,0,0,0.0009,0.0006,0.0009,0,0,0,0,0,0,0,0,0,0,0.0006,0.0015,0.0007,0.0002,0,0,0.0005,0,0,0.0012,0,0,0.0012,0,0,0.0009,0,0.0036,0.0009,0,0,0,0.0006,0,0,0,0,0,0,0,0,0,0,0.0006,0,0,0.0021,0,0.0005,0.0032,0,0,0,0.0004,0,0,0,0.0013,0.0005,0,0.0005,0.0014,0.0008
Blautia_obeum_ATCC_29174_6,Blautia_obeum_ATCC_29174,Blautia obeum ATCC 29174,0.0011,0,0,0,0,0.0061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022,0.0012,0,0,0,0,0,0,0,0,0.0049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128,0,0,0,0,0.0015,0,0,0,0.002,0,0,0,0,0,0,0.0024,0,0,0,0,0,0.0032,0,0,0,0,0
_spiroforme_DSM_1552_2,Clostridium_spiroforme_DSM_1552, spiroforme DSM 1552,0.0003,0,0.0007,0.0003,0,0,0,0.0001,0,0.0005,0,0.0001,0,0.0003,0.0031,0,0,0.0008,0,0.0001,0.0003,0,0,0,0.0008,0,0.0005,0,0,0.0042,0,0,0.0001,0.0003,0,0.0004,0.0007,0.0009,0,0,0.0005,0.0002,0,0,0,0.0014,0.0004,0,0,0,0.001,0,0,0,0,0.0002,0.003,0,0,0,0.0005,0.0014,0.0004,0.0004,0.0007,0,0.0003,0.0015,0,0,0,0,0.0016,0,0.0049,0,0.0012,0,0,0,0.0016,0,0,0.0001,0,0.0006,0.0014,0,0,0,0,0,0,0,0,0.0009,0,0.0009,0.0002,0,0,0,0.0007
_eligens_ATCC_27750_8,Eubacterium_eligens_ATCC_27750, eligens ATCC 27750,0,0,0,0,0,0,0,0.0012,0,0,0,0,0,0,0,0,0,0,0.0026,0,0.004,0,0,0,0,0,0,0,0,0,0,0.0005,0,0,0,0.0072,0,0,0,0,0,0,0.0089,0,0,0,0,0,0.0029,0,0.0019,0.0014,0.0073,0.0008,0,0,0,0,0,0,0,0,0,0,0,0.0056,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0.0012,0,0,0,0,0,0.0004,0,0
Blautia_obeum_ATCC_29174_7,Blautia_obeum_ATCC_29174,Blautia obeum ATCC 29174,0.0012,0.0014,0,0,0,0,0,0.0004,0,0,0,0,0,0.0004,0,0.0002,0.0031,0,0,0,0.0002,0.0002,0.0008,0.0005,0.0007,0.0018,0.0012,0,0,0,0,0,0,0.0006,0.0002,0.0007,0,0,0,0,0,0,0,0,0.0006,0.0006,0,0,0.0004,0,0,0,0.0002,0,0,0,0,0.0012,0,0,0,0,0.0016,0,0,0,0,0,0,0,0,0.0007,0,0.0002,0,0.0016,0.0004,0,0.0005,0.0002,0,0.0012,0.0008,0.0003,0,0,0.0003,0.0015,0.0003,0.0007,0,0.0005,0,0,0.0021,0.0006,0,0.0013,0.0002,0.0004,0.0024,0,0.0009
Ruminococcus_albus_7_DSM_20455_0,Ruminococcus_albus_7,Ruminococcus albus 7 = DSM 20455,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0.0007,0.0003,0,0,0,0.0032,0,0,0,0.004,0.0035,0,0.0011,0,0,0,0,0.0051,0,0.0016,0,0,0,0,0,0,0,0,0.001,0,0,0,0.0003,0.001,0,0.0039,0,0,0,0,0,0.002,0,0,0.001,0,0.001,0,0,0,0,0,0,0,0,0.0009,0,0,0,0,0.002,0,0.0024,0.0002,0,0.0006,0.001,0.0001,0.0011,0,0,0,0,0.0016,0,0.0002,0,0,0,0.0001,0.001,0.0001,0,0,0,0.0001,0
_lactaris_ATCC_29176_9,Ruminococcus_lactaris_ATCC_29176, lactaris ATCC 29176,0,0,0.0004,0,0,0,0,0,0,0,0.0093,0.0023,0,0,0,0,0,0.0017,0,0,0,0,0,0.0095,0,0,0,0,0,0.0047,0,0.0009,0,0,0,0,0,0,0,0,0,0.0026,0.01,0,0,0,0,0,0,0,0,0,0.0055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019,0,0,0
Ruminiclostridium_cellobioparum_DSM_1351_ATCC_15832_13,Clostridium_cellobioparum_DSM_1351,Ruminiclostridium cellobioparum DSM 1351 = ATCC 15832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009,0,0,0,0.0011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029,0,0,0,0,0,0,0,0.0096,0.0005,0,0,0,0,0.0015,0,0,0,0,0,0,0.0008,0,0.0039,0,0,0,0.0038,0,0.0039,0,0,0.0023,0,0.0005,0,0,0,0,0,0
_methoxybenzovorans_SR3_16,Clostridium_methoxybenzovorans_SR3, methoxybenzovorans SR3,0.0006,0.0005,0.0005,0,0.0006,0,0,0.0004,0,0,0,0,0.0007,0,0.0007,0.0006,0.0012,0.002,0.0003,0,0.0008,0,0.0006,0,0.0008,0,0.0003,0,0,0,0.0009,0.0007,0.0006,0.0009,0.001,0,0.0009,0.0011,0.0011,0,0,0,0,0,0.0003,0.0006,0,0,0.0002,0.0006,0,0.0018,0,0.0008,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,0.0018,0,0.0019,0.0018,0.0008,0,0.0006,0,0.0003,0,0.0009,0,0.0004,0.0012,0,0,0,0.0009,0.0004,0.0004,0,0.0001,0.0002,0.0003,0.0002,0,0.0001,0,0.0005,0.0006,0,0,0.0012,0.0001
Anaerostipes_caccae_L192_0,Anaerostipes_caccae_DSM_14662,Anaerostipes caccae L1-92,0.0001,0,0,0.0028,0,0,0,0,0,0.0024,0,0.0015,0,0,0,0.0001,0,0.0001,0.0003,0,0,0.0006,0,0,0,0.0007,0.0004,0.0007,0.0001,0,0,0.0004,0.0001,0.0002,0,0,0,0,0,0,0,0,0,0,0.0009,0,0,0,0.0007,0,0,0,0,0.0003,0,0,0,0,0,0,0,0,0,0,0.0029,0,0.0002,0,0,0,0.0002,0,0,0.0003,0,0,0.0006,0,0,0,0,0.0001,0.0005,0.0035,0.0001,0.0001,0.0004,0.0001,0.0003,0.0001,0.0005,0,0.0043,0.0001,0.0031,0,0,0.0002,0,0,0,0.0002,0.0006
Ruminiclostridium_cellobioparum_DSM_1351_ATCC_15832_14,Clostridium_cellobioparum_DSM_1351,Ruminiclostridium cellobioparum DSM 1351 = ATCC 15832,0.0002,0.0003,0,0,0.0002,0,0,0,0,0,0,0,0,0.0007,0,0,0.0002,0.0002,0.0007,0,0,0.0016,0.0004,0,0,0.0015,0.0005,0.002,0.0008,0,0,0,0,0,0,0.0006,0,0.0002,0.0004,0,0,0,0,0,0.0005,0,0,0,0.0004,0.0009,0,0.0004,0,0,0,0,0,0.0029,0,0,0.0009,0,0.001,0,0.0028,0,0,0,0.0012,0,0.0007,0.0004,0,0.0002,0,0.0001,0,0,0,0.0004,0,0.003,0.0004,0.0005,0.0012,0,0,0.0004,0,0.0025,0,0.0021,0,0,0,0.0001,0.0001,0.0002,0.0013,0,0,0.0003,0.0008
